10010	WARN	Cookie No HttpOnly Flag
10011	WARN	Cookie Without Secure Flag
10015	INFO	Incomplete or No Cache-control Header Set
10016	WARN	Web Browser XSS Protection Not Enabled
10017	WARN	Cross-Domain JavaScript Source File Inclusion
10020	WARN	X-Frame-Options Header Not Set
10021	WARN	X-Content-Type-Options Header Missing
10036	WARN	Server Leaks Version Information via "Server" HTTP Response Header Field
10038	WARN	Content Security Policy (CSP) Header Not Set
10054	WARN	Cookie without SameSite Attribute
10096	INFO	Timestamp Disclosure
10202	WARN	Absence of Anti-CSRF Tokens
40012	WARN	Cross Site Scripting (Reflected)
40014	WARN	Cross Site Scripting (Persistent)
40018	WARN	SQL Injection
40022	WARN	SQL Injection - MySQL
90022	INFO	Application Error Disclosure
